Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,CatID,BookID,Year,Position,Status,Description
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509858637.jpg,This is Going to Hurt,Adam Kay,Paperback,4.5,7.6,11.4,9781509858637,cat01,book00001,2020/05/16,1,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141033570.jpg,"Thinking, Fast and Slow",Daniel Kahneman,Paperback,4.0,11.5,15.0,9780141033570,cat01,book00002,2021/05/19,2,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784701994.jpg,When Breath Becomes Air,Paul Kalanithi,Paperback,4.5,9.05,11.5,9781784701994,cat01,book00003,2003/12/13,3,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845298258.jpg,The Happiness Trap,Russ Harris,Paperback,4.0,8.34,13.9,9781845298258,cat01,book00004,1980/01/24,4,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330523622.jpg,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Paperback,4.0,5.92,14.8,9780330523622,cat01,book00005,1976/06/17,5,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780722405.jpg,The 8-week Blood Sugar Diet,Michael Mosley,Paperback,4.0,8.85,11.3,9781780722405,cat01,book00006,2003/07/13,6,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780723044.jpg,The Clever Guts Diet,Michael Mosley,Paperback,4.0,8.92,11.3,9781780723044,cat01,book00007,1983/02/07,7,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8466/9781846685828.jpg,Being Mortal,Atul Gawande,Paperback,4.5,9.03,11.5,9781846685828,cat01,book00008,1986/08/09,8,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9252/9781925228601.jpg,Gut,Giulia Enders,Paperback,4.0,10.49,11.4,9781925228601,cat01,book00009,2018/04/06,9,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141038872.jpg,The Brain That Changes Itself,Norman Doidge,Paperback,4.0,11.03,13.9,9780141038872,cat01,book00010,2019/08/04,10,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401954406.jpg,Medical Medium Liver Rescue,Anthony William,Hardback,4.0,23.76,32.5,9781401954406,cat01,book00011,1983/07/03,11,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141976143.jpg,Wreck This Journal,Keri Smith,Paperback,4.0,9.59,12.9,9780141976143,cat01,book00012,1992/01/29,12,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241351635.jpg,12 Rules for Life,Jordan B. Peterson,Hardback,4.0,20.99,25.2,9780241351635,cat01,book00013,1986/06/01,13,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141988511.jpg,12 Rules for Life,Jordan B. Peterson,Paperback,4.0,10.26,12.9,9780141988511,cat01,book00014,1975/10/18,14,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9548/9780954852023.jpg,Gut and Psychology Syndrome,Dr Natasha Campbell-McBride,Paperback,4.0,19.48,26.5,9780954852023,cat01,book00015,1996/10/10,15,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401948368.jpg,Medical Medium Thyroid Healing,Anthony William,Hardback,4.0,17.26,26.5,9781401948368,cat01,book00016,1995/07/27,16,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7611/9780761169253.jpg,Steal Like an Artist,Austin Kleon,Paperback,4.0,8.81,11.95,9780761169253,cat01,book00017,2014/08/21,17,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6118/9781611800586.jpg,Sitting Still Like A Frog,Eline Snel,Paperback,4.0,10.4,15.0,9781611800586,cat01,book00018,1996/02/08,18,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509852505.jpg,How Not To Die,Michael Greger,Paperback,4.5,10.33,12.4,9781509852505,cat01,book00019,1985/03/19,19,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7803/9781780338378.jpg,The Whole-Brain Child,Tina Payne Bryson,Paperback,4.0,11.23,17.0,9781780338378,cat01,book00020,1993/01/09,20,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091922146.jpg,Birth Skills,Juju Sundin,Paperback,4.0,17.03,21.1,9780091922146,cat01,book00021,1975/08/31,21,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8904/9780890425558.jpg,Diagnostic and Statistical Manual of Mental Disorders (DSM-5),American Psychiatric Association,Paperback,4.0,95.94,144.5,9780890425558,cat01,book00022,1986/10/28,22,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401957650.jpg,Medical Medium Celery Juice,Anthony William,Hardback,4.0,14.01,18.0,9781401957650,cat01,book00023,1973/07/17,23,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241250990.jpg,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,Hardback,4.0,13.03,16.0,9780241250990,cat01,book00024,1998/11/04,24,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4516/9781451695199.jpg,Proof of Heaven,Dr. Eben Alexander,Paperback,3.5,13.01,17.0,9781451695199,cat01,book00025,2017/03/21,25,Available,
