Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,Category
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7390/9780739019689.jpg,"Alfred's Basic Piano Prep Course Theory Book, Bk a",Willard Palmer,Paperback,0.0,6.64,7.0,9780739019689,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0071/9780007179961.jpg,Papillon,Henri Charriere,Paperback,4.0,8.61,12.9,9780007179961,Biography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7382/9780738218427.jpg,A Practical Wedding Planner,Meg Keene,Paperback,4.5,15.7,15.99,9780738218427,Home-Garden
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753553718.jpg,Naturally Tan,Tan France,Hardback,4.0,18.23,21.1,9780753553718,Home-Garden
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7499/9780749928889.jpg,A Bed Of Roses,Nora Roberts,Paperback,4.0,8.12,11.4,9780749928889,Romance
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099590583.jpg,The Trains Now Departed,Michael Williams,Paperback,4.0,10.13,11.4,9780099590583,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9855/9780985528027.jpg,"Essential Oils for Pregnancy, Birth & Babies",Stephanie Fritz,Paperback,4.5,11.94,16.95,9780985528027,Health
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4862/9780486249841.jpg,Traditional Patchwork Quilt Patterns with Plastic Templates,Rita Weiss,Paperback,4.0,6.39,7.8,9780486249841,Crafts-Hobbies
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141040363.jpg,Great Expectations,Charles Dickens,Hardback,4.0,16.45,19.1,9780141040363,Romance
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2978/9780297867128.jpg,James Wong's Homegrown Revolution,James Wong,Hardback,4.5,23.63,31.4,9780297867128,Home-Garden
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8466/9781846683817.jpg,SPQR,Mary Beard,Paperback,4.0,11.9,13.9,9781846683817,History-Archaeology
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4221/9781422117361.jpg,Immunity to Change,Robert Kegan,Hardback,4.0,22.57,26.99,9781422117361,Business-Finance-Law
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1074/9781107401013.jpg,Dr Podcast Scripts for the Primary FRCA,Rebecca A. Leslie,Paperback,4.5,52.46,54.84,9781107401013,Medical
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4402/9780440246411.jpg,Iced,Karen Marie Moning,Paperback,4.0,8.14,8.8,9780440246411,Romance
